"","month","customer_type","topic","Freq","total","prop"
"100","2018-06-01","new","assortment",69,262,26.3358778625954
"101","2018-07-01","existing","assortment",263,913,28.8061336254107
"102","2018-07-01","existing","presentation",96,913,10.5147864184009
"103","2018-07-01","existing","features",126,913,13.8006571741512
"104","2018-07-01","existing","shipping",30,913,3.28587075575027
"105","2018-07-01","existing","loyalty",17,913,1.86199342825849
"106","2018-07-01","existing","social",178,913,19.4961664841183
"107","2018-07-01","existing","promo",302,913,33.0777656078861
"108","2018-07-01","existing","display",69,913,7.55750273822563
"109","2018-07-01","existing","crm",285,913,31.2157721796276
"110","2018-07-01","existing","search",52,913,5.69550930996714
"111","2018-07-01","new","display",8,197,4.06091370558376
"112","2018-07-01","new","search",11,197,5.58375634517767
"113","2018-07-01","new","assortment",48,197,24.3654822335025
"114","2018-07-01","new","presentation",16,197,8.12182741116751
"115","2018-07-01","new","crm",46,197,23.3502538071066
"116","2018-07-01","new","promo",55,197,27.9187817258883
"117","2018-07-01","new","shipping",8,197,4.06091370558376
"118","2018-07-01","new","loyalty",1,197,0.50761421319797
"119","2018-07-01","new","features",19,197,9.64467005076142
"120","2018-07-01","new","social",29,197,14.7208121827411
"121","2018-08-01","existing","shipping",23,782,2.94117647058824
"122","2018-08-01","existing","assortment",223,782,28.5166240409207
"123","2018-08-01","existing","social",140,782,17.9028132992327
"124","2018-08-01","existing","promo",279,782,35.6777493606138
"125","2018-08-01","existing","presentation",62,782,7.92838874680307
"126","2018-08-01","existing","search",54,782,6.90537084398977
"127","2018-08-01","existing","features",114,782,14.5780051150895
"128","2018-08-01","existing","loyalty",20,782,2.55754475703325
"129","2018-08-01","existing","crm",240,782,30.690537084399
"130","2018-08-01","existing","display",43,782,5.49872122762148
"131","2018-08-01","new","presentation",15,185,8.10810810810811
"132","2018-08-01","new","display",9,185,4.86486486486486
"133","2018-08-01","new","promo",56,185,30.2702702702703
"134","2018-08-01","new","shipping",6,185,3.24324324324324
"135","2018-08-01","new","search",6,185,3.24324324324324
"136","2018-08-01","new","social",31,185,16.7567567567568
"137","2018-08-01","new","assortment",70,185,37.8378378378378
"138","2018-08-01","new","crm",32,185,17.2972972972973
"139","2018-08-01","new","features",26,185,14.0540540540541
"140","2018-08-01","new","loyalty",4,185,2.16216216216216
"141","2018-09-01","existing","features",0,1,0
"142","2018-09-01","existing","shipping",1,1,100
"143","2018-09-01","existing","social",0,1,0
"144","2018-09-01","existing","assortment",0,1,0
"145","2018-09-01","existing","loyalty",0,1,0
"146","2018-09-01","existing","crm",0,1,0
"147","2018-09-01","existing","promo",0,1,0
"148","2018-09-01","existing","presentation",0,1,0
"149","2018-09-01","existing","display",0,1,0
"150","2018-09-01","existing","search",0,1,0
"151","2018-09-01","new","assortment",0,0,NA
"152","2018-09-01","new","presentation",0,0,NA
"153","2018-09-01","new","promo",0,0,NA
"154","2018-09-01","new","display",0,0,NA
"155","2018-09-01","new","crm",0,0,NA
"156","2018-09-01","new","features",0,0,NA
"157","2018-09-01","new","shipping",0,0,NA
"158","2018-09-01","new","search",0,0,NA
"159","2018-09-01","new","loyalty",0,0,NA
"160","2018-09-01","new","social",0,0,NA
